"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.593434084E0,5.203217864E-1,-5.747914314E-1,-1.783073902E0
5.611257753E0,7.053509951E-1,-4.793019295E-1,-1.392345905E0
5.629081727E0,7.298556566E-1,-4.422702789E-1,-9.134292603E-1
5.646900331E0,7.059293985E-1,-1.187019348E-1,-7.682228088E-1
5.664727480E0,7.150735855E-1,4.605996609E-1,-6.111278534E-1
5.682548464E0,3.908095062E-1,6.871118546E-1,-2.417249680E-1
5.700376161E0,3.326138258E-1,8.277027607E-1,1.055917740E-1
5.718195925E0,4.974304438E-1,9.496719837E-1,4.907760620E-1
5.736027040E0,6.563191414E-1,5.756905079E-1,1.466163635E0
5.753846194E0,9.161506891E-1,-2.681732178E-3,3.056462288E0
5.771672487E0,1.050831437E0,-5.697541237E-1,4.352149963E0
5.789490175E0,3.280874789E-1,5.340337753E-3,3.657724380E0
5.807313661E0,-6.212245822E-1,1.291961432E0,6.477785110E-1
5.825140932E0,1.041333899E-1,1.302536488E0,2.705793381E-1
5.842967104E0,7.857434750E-1,-9.818520546E-1,4.461777687E0
5.860788942E0,-3.966703117E-1,-3.530112982E0,6.848424911E0
5.878608339E0,-1.487915158E0,-3.622849464E0,4.370583534E0
5.896435487E0,-1.708640218E0,-2.055532217E0,2.894592285E-2
5.914261415E0,-2.023205757E0,-1.480735540E0,-2.137620449E0
5.932083681E0,-1.606182814E0,-1.392858267E0,-1.644986153E0
5.949907594E0,-9.879150391E-1,-1.729253769E0,-2.730054855E-1
5.967731447E0,-3.575851619E-1,-2.019517660E0,3.002920151E-1
5.985555299E0,4.027376771E-1,-2.125816345E0,7.966651917E-1
6.003378603E0,6.792506576E-1,-2.279237032E0,8.516626358E-1
6.021202333E0,7.498515844E-1,-1.969168663E0,-5.607509613E-2
6.039025758E0,8.108106256E-1,-1.370388269E0,-1.332588196E0
6.056848818E0,6.266579628E-1,-8.292298317E-1,-2.439486980E0
6.074674501E0,4.308397174E-1,-2.355768681E-1,-3.417838097E0
6.092496950E0,7.733583450E-2,-1.217789650E-1,-3.619123459E0
6.110316164E0,-1.467913538E-1,-2.554862499E-1,-2.908320904E0
6.128144655E0,-2.332979143E-1,-5.181338787E-1,-1.686329842E0
6.145967897E0,-5.995925665E-1,-9.424808025E-1,-6.630163193E-1
6.163791750E0,-7.156946659E-1,-9.541440010E-1,-4.162759781E-1
6.181615053E0,-6.050928235E-1,-7.409739494E-1,-2.987670898E-2
6.199439577E0,-4.831194580E-1,-4.514729977E-1,1.690530777E-1
6.217262453E0,-6.112771034E-1,-2.790460587E-1,-6.987857819E-2
6.235085451E0,-5.713023543E-1,1.585714817E-1,-4.446859360E-1
6.252911257E0,-6.490883827E-1,3.341233730E-1,-5.557413101E-1
6.270734132E0,-3.206506968E-1,5.238184929E-1,-3.713216782E-1
6.288557009E0,4.594126344E-2,3.803348541E-1,1.145336151E0
6.306380983E0,7.485616207E-2,8.539485931E-2,2.201498985E0
6.324204774E0,1.949649453E-1,1.428256035E-1,2.426241875E0
6.342028566E0,-2.591866851E-1,5.542206764E-1,2.264354706E0
6.359850770E0,8.569777012E-2,4.356129169E-1,1.351472855E0
6.377677004E0,1.112547517E0,-4.494254589E-1,2.900228500E0
6.395499513E0,1.319766760E0,-2.338045359E0,5.814177513E0
6.413318606E0,3.839294910E-1,-3.801677227E0,6.401358604E0
6.431145509E0,5.003151894E-1,-3.215626717E0,4.314516068E0
6.448971743E0,1.511450291E0,-1.967113853E0,2.413047791E0
6.466794069E0,2.017912149E0,-1.837954760E0,8.793640137E-1
6.484618104E0,2.426719189E0,-1.723683596E0,2.020263672E-1
6.502441103E0,2.456553698E0,-1.485053778E0,-6.621170044E-1
6.520265810E0,2.084300756E0,-1.198511124E0,-1.702647209E0
6.538088747E0,1.740142465E0,-6.307690144E-1,-2.080382347E0
6.555913026E0,1.291537285E0,-2.798502445E-1,-1.944417000E0
6.573736025E0,5.371423960E-1,-5.761032104E-1,-1.559986591E0
6.591559999E0,3.127771616E-2,-8.442296982E-1,-1.006402969E0
6.609383669E0,-2.774509788E-1,-9.431781769E-1,-9.768905640E-1
6.627207765E0,-5.039027333E-1,-1.092038870E0,-1.149465561E0
6.645029542E0,-5.424573421E-1,-1.077593803E0,-1.443589687E0
6.662854311E0,-3.691741824E-1,-9.739539623E-1,-1.657718658E0
6.680679384E0,-2.752688527E-1,-9.026963711E-1,-2.015402317E0
